Token,Count
ambl,1
nimbl,1
stake,1
borrow,1
sore,1
enpierc,1
shaft,1
pitch,1
boister,1
thorn,1
visag,1
curiou,1
quot,1
deform,1
beetlebrow,1
sooner,1
betak,1
senseless,1
proverbd,1
phrase,1
candlehold,1
game,1
constabl,1
mire,1
thissirreverencelov,1
wherein,1
stickst,1
dreamer,1
queen,1
midwif,1
agateston,1
forefing,1
alderman,1
team,1
atomi,1
athwart,1
waggonspok,1
spinner,1
grasshopp,1
trace,1
smallest,1
spider,1
web,1
moonshin,1
wateri,1
cricket,1
lash,1
film,1
greycoat,1
gnat,1
round,1
prickd,1
lazi,1
chariot,1
hazelnut,1
joiner,1
squirrel,1
coachmak,1
lawyer,1
angri,1
blister,1
sweetmeat,1
taint,1
tithepig,1
tail,1
parson,1
benefic,1
driveth,1
foreign,1
throat,1
breach,1
ambuscado,1
spanish,1
fathom,1
plat,1
mane,1
bake,1
elflock,1
sluttish,1
untangl,1
bode,1
hag,1
carriag,1
talkst,1
begot,1
fantasi,1
thin,1
wooe,1
frozen,1
north,1
angerd,1
puff,1
dewdrop,1
south,1
misgiv,1
consequ,1
expir,1
steerag,1
sailon,1
shift,1
scrape,1
unwashd,1
joinstool,1
courtcupboard,1
plategood,1
marchpan,1
porter,1
grindston,1
nell,1
antoni,1
toocheerli,1
brisk,1
liver,1
toe,1
unplagud,1
bout,1
dainti,1
whisper,1
pleaseti,1
gentlemencom,1
hall—,1
unlookdfor,1
byr,1
nuptial,1
lucentio,1
pentecost,1
fiveandtwenti,1
maskd,1
elder,1
ward,1
enrich,1
jewel,1
ethiop,1
snowi,1
troop,1
forswear,1
boywhat,1
coverd,1
fleer,1
stock,1
kin,1
portli,1
wellgovernd,1
disparag,1
semblanc,1
endurd,1
goodman,1
boyl,1
shallgo,1
himgod,1
cockahoop,1
trick,1
scath,1
heartsyou,1
princox,1
ormor,1
light—,1
whatcheerli,1
wil,1
intrus,1
convert,1
unworthiest,1
shrine,1
mannerli,1
trespass,1
sweetli,1
bachelor,1
chink,1
unrest,1
trifl,1
banquet,1
een,1
goodnight,1
herecom,1
fay,1
tiberio,1
petruchio,1
sprung,1
unknown,1
prodigi,1
dancd,1
deathb,1
gape,1
groand,1
belovd,1
bewitch,1
charm,1
complain,1
bait,1
hook,1
access,1
usd,1
belov,1
anywher,1
adjoin,1
forward,1
centr,1
leapd,1
nicknam,1
purblind,1
auburn,1
cophetua,1
beggarmaid,1
heareth,1
stirreth,1
moveth,1
ape,1
forehead,1
thigh,1
adjac,1
twould,1
conjurd,1
invoc,1
humor,1
befit,1
fruit,1
truckleb,1
fieldb,1
scar,1
fairest,1
twinkl,1
sphere,1
region,1
stream,1
glove,1
gloriou,1
whiteupturn,1
lazypac,1
refus,1
calld,1
retain,1
perfect,1
titleromeo,1
doff,1
baptizd,1
bescreend,1
stumblest,1
dislik,1
consid,1
oerperch,1
attempt,1
peril,1
cloak,1
foundst,1
prompt,1
vast,1
